date,ruonia
18.02.2016,10.98
17.02.2016,11.16
16.02.2016,10.88
15.02.2016,10.7
12.02.2016,10.66
11.02.2016,10.71
10.02.2016,10.82
09.02.2016,10.62
08.02.2016,10.62
05.02.2016,10.8
04.02.2016,11.01
03.02.2016,10.99
02.02.2016,10.72
01.02.2016,10.88
29.01.2016,11.07
28.01.2016,11.11
27.01.2016,11.2
26.01.2016,11.12
25.01.2016,11.17
22.01.2016,11.06
21.01.2016,11.03
20.01.2016,11.1
19.01.2016,11.08
18.01.2016,11.09
15.01.2016,11.02
14.01.2016,11.06
13.01.2016,11.01
12.01.2016,10.95
11.01.2016,10.85
30.12.2015,10.52
29.12.2015,11.01
28.12.2015,10.95
25.12.2015,11.08
24.12.2015,10.83
23.12.2015,10.99
22.12.2015,11.06
21.12.2015,11.2
18.12.2015,11.29
17.12.2015,11.34
16.12.2015,11.17
15.12.2015,11.46
14.12.2015,11.54
11.12.2015,11.54
10.12.2015,11.64
09.12.2015,11.3
08.12.2015,11.78
07.12.2015,11.56
04.12.2015,11
03.12.2015,10.92
02.12.2015,11.11
01.12.2015,11.19
30.11.2015,11.32
27.11.2015,11.45
26.11.2015,11.48
25.11.2015,11.19
24.11.2015,11.61
23.11.2015,11.5
20.11.2015,11.64
19.11.2015,11.67
18.11.2015,11.68
17.11.2015,11.68
16.11.2015,11.62
13.11.2015,11.55
12.11.2015,11.6
11.11.2015,11.32
10.11.2015,11.43
09.11.2015,10.88
06.11.2015,11.39
05.11.2015,11.25
03.11.2015,11.32
02.11.2015,11.33
30.10.2015,11.46
29.10.2015,11.42
28.10.2015,11.42
27.10.2015,11.35
26.10.2015,11.5
23.10.2015,11.4
22.10.2015,11.36
21.10.2015,11.38
20.10.2015,11.35
19.10.2015,11.34
16.10.2015,11.47
15.10.2015,11.33
14.10.2015,11.39
13.10.2015,11.38
12.10.2015,11.01
09.10.2015,10.46
08.10.2015,10.48
07.10.2015,10.3
06.10.2015,10.3
05.10.2015,10.8
02.10.2015,11.41
01.10.2015,11.26
30.09.2015,11.45
29.09.2015,11.38
28.09.2015,11.43
25.09.2015,11.45
24.09.2015,11.01
23.09.2015,11.13
22.09.2015,11.61
21.09.2015,11.54
18.09.2015,11.4
17.09.2015,11.42
16.09.2015,11.62
15.09.2015,11.68
14.09.2015,11.57
11.09.2015,11.03
10.09.2015,10.5
09.09.2015,10.39
08.09.2015,10.4
07.09.2015,10.4
04.09.2015,10.6
03.09.2015,10.64
02.09.2015,10.58
01.09.2015,10.91
31.08.2015,11.04
28.08.2015,11.06
27.08.2015,11.21
26.08.2015,11.21
25.08.2015,11.11
24.08.2015,11
21.08.2015,10.99
20.08.2015,11.01
19.08.2015,11.08
18.08.2015,11.18
17.08.2015,11.1
14.08.2015,11.17
13.08.2015,10.88
12.08.2015,10.59
11.08.2015,10.59
10.08.2015,10.45
07.08.2015,10.3
06.08.2015,10.21
05.08.2015,10.16
04.08.2015,10.17
03.08.2015,10.45
31.07.2015,11.19
30.07.2015,10.97
29.07.2015,11.22
28.07.2015,11.56
27.07.2015,11.55
24.07.2015,10.97
23.07.2015,10.95
22.07.2015,11.53
21.07.2015,12.17
20.07.2015,12.14
17.07.2015,12.25
16.07.2015,12.14
15.07.2015,12.04
14.07.2015,11.92
13.07.2015,11.93
10.07.2015,11.54
09.07.2015,10.73
08.07.2015,10.59
07.07.2015,10.65
06.07.2015,10.91
03.07.2015,11.39
02.07.2015,11.84
01.07.2015,12.13
