date,curs
15/03/2018,56.9372
16/03/2018,57.0188
17/03/2018,57.4942
20/03/2018,57.5521
21/03/2018,57.7033
22/03/2018,57.4954
23/03/2018,56.8391
24/03/2018,57.1072
27/03/2018,57.0039
28/03/2018,57.1747
29/03/2018,57.5598
30/03/2018,57.7626
31/03/2018,57.2649
03/04/2018,57.2850
04/04/2018,57.5375
05/04/2018,57.7646
06/04/2018,57.5796
07/04/2018,57.8332
10/04/2018,58.5714
11/04/2018,62.3699
12/04/2018,64.0626
13/04/2018,62.0659
14/04/2018,61.4311
17/04/2018,62.2794
18/04/2018,61.1454
19/04/2018,61.5539
20/04/2018,60.8583
21/04/2018,61.3222
24/04/2018,61.7655
25/04/2018,61.6644
26/04/2018,61.7494
27/04/2018,62.6027
28/04/2018,62.7260
29/04/2018,61.9997
04/05/2018,63.4860
05/05/2018,63.2012
08/05/2018,62.7148
09/05/2018,63.0066
11/05/2018,62.5229
12/05/2018,61.7354
15/05/2018,61.7684
16/05/2018,61.9164
17/05/2018,62.3033
18/05/2018,61.8215
19/05/2018,61.9408
22/05/2018,62.5327
23/05/2018,61.2610
24/05/2018,61.5945
25/05/2018,61.4090
26/05/2018,61.6659
29/05/2018,62.2710
30/05/2018,62.6420
31/05/2018,62.5937
01/06/2018,62.0188
02/06/2018,62.2056
05/06/2018,61.9290
06/06/2018,61.9822
07/06/2018,62.0064
08/06/2018,61.8125
09/06/2018,62.6680
10/06/2018,62.3431
14/06/2018,63.1164
15/06/2018,62.2511
16/06/2018,62.6851
19/06/2018,63.4838
20/06/2018,64.0683
21/06/2018,63.6175
22/06/2018,63.7873
23/06/2018,63.2396
26/06/2018,62.9497
27/06/2018,62.7908
28/06/2018,63.1359
29/06/2018,63.2910
30/06/2018,62.7565
03/07/2018,63.1394
04/07/2018,63.2194
05/07/2018,63.2267
06/07/2018,63.2604
07/07/2018,63.1216
10/07/2018,62.8338
11/07/2018,62.4442
12/07/2018,62.0980
13/07/2018,62.2062
14/07/2018,62.2934
17/07/2018,62.2556
18/07/2018,62.4352
19/07/2018,62.9006
20/07/2018,63.2746
21/07/2018,63.4888
24/07/2018,63.1957
25/07/2018,62.9235
26/07/2018,63.0836
27/07/2018,62.9471
28/07/2018,62.9726
31/07/2018,62.7805
01/08/2018,62.3497
02/08/2018,62.5590
03/08/2018,63.1358
04/08/2018,63.4549
07/08/2018,63.4975
08/08/2018,63.5425
09/08/2018,63.5950
10/08/2018,66.2856
11/08/2018,66.9075
14/08/2018,68.2234
15/08/2018,66.7535
16/08/2018,66.3772
17/08/2018,66.8932
18/08/2018,66.8757
21/08/2018,67.1807
22/08/2018,67.1783
